,GeoFips,county,state,population,per_capita_income,zip,latitude,longitude
318,11001,District of Columbia,DC,712816,86567,20052,38.9,-77.05
319,11001,District of Columbia,DC,712816,86567,20053,38.88,-77.01
320,11001,District of Columbia,DC,712816,86567,20055,38.89,-77.03
321,11001,District of Columbia,DC,712816,86567,20056,38.89,-77.03
322,11001,District of Columbia,DC,712816,86567,20057,38.91,-77.08
323,11001,District of Columbia,DC,712816,86567,20058,38.89,-77.03
324,11001,District of Columbia,DC,712816,86567,20059,38.89,-77.03
325,11001,District of Columbia,DC,712816,86567,20060,38.89,-77.03
326,11001,District of Columbia,DC,712816,86567,20061,38.89,-77.03
327,11001,District of Columbia,DC,712816,86567,20062,38.89,-77.03
328,11001,District of Columbia,DC,712816,86567,20063,38.89,-77.03
329,11001,District of Columbia,DC,712816,86567,20064,38.94,-77.0
330,11001,District of Columbia,DC,712816,86567,20065,38.89,-77.03
331,11001,District of Columbia,DC,712816,86567,20066,38.89,-77.03
332,11001,District of Columbia,DC,712816,86567,20067,38.89,-77.03
333,11001,District of Columbia,DC,712816,86567,20068,38.89,-77.03
334,11001,District of Columbia,DC,712816,86567,20069,38.89,-77.03
335,11001,District of Columbia,DC,712816,86567,20070,38.89,-77.03
336,11001,District of Columbia,DC,712816,86567,20071,38.89,-77.03
337,11001,District of Columbia,DC,712816,86567,20073,38.89,-77.03
338,11001,District of Columbia,DC,712816,86567,20074,38.89,-77.03
339,11001,District of Columbia,DC,712816,86567,20075,38.89,-77.03
340,11001,District of Columbia,DC,712816,86567,20076,38.89,-77.03
341,11001,District of Columbia,DC,712816,86567,20077,38.89,-77.03
342,11001,District of Columbia,DC,712816,86567,20078,38.89,-77.03
343,11001,District of Columbia,DC,712816,86567,20080,38.89,-77.03
344,11001,District of Columbia,DC,712816,86567,20081,38.89,-77.03
345,11001,District of Columbia,DC,712816,86567,20082,38.89,-77.03
346,11001,District of Columbia,DC,712816,86567,20088,38.89,-77.03
347,11001,District of Columbia,DC,712816,86567,20090,38.89,-77.03
348,11001,District of Columbia,DC,712816,86567,20091,38.89,-77.03
349,11001,District of Columbia,DC,712816,86567,20097,38.89,-77.03
350,11001,District of Columbia,DC,712816,86567,20098,38.89,-77.03
351,11001,District of Columbia,DC,712816,86567,20201,38.89,-77.03
352,11001,District of Columbia,DC,712816,86567,20202,38.89,-77.02
353,11001,District of Columbia,DC,712816,86567,20203,38.89,-77.03
354,11001,District of Columbia,DC,712816,86567,20204,38.89,-77.01
355,11001,District of Columbia,DC,712816,86567,20206,38.89,-77.03
356,11001,District of Columbia,DC,712816,86567,20207,38.89,-77.03
357,11001,District of Columbia,DC,712816,86567,20208,38.89,-77.03
358,11001,District of Columbia,DC,712816,86567,20210,38.89,-77.03
359,11001,District of Columbia,DC,712816,86567,20211,38.89,-77.03
360,11001,District of Columbia,DC,712816,86567,20212,38.89,-77.03
361,11001,District of Columbia,DC,712816,86567,20213,38.89,-77.03
362,11001,District of Columbia,DC,712816,86567,20214,38.89,-77.03
363,11001,District of Columbia,DC,712816,86567,20215,38.89,-77.03
364,11001,District of Columbia,DC,712816,86567,20216,38.89,-77.03
365,11001,District of Columbia,DC,712816,86567,20217,38.89,-77.03
366,11001,District of Columbia,DC,712816,86567,20218,38.89,-77.03
367,11001,District of Columbia,DC,712816,86567,20219,38.89,-77.03
368,11001,District of Columbia,DC,712816,86567,20220,38.89,-77.03
369,11001,District of Columbia,DC,712816,86567,20221,38.89,-77.03
370,11001,District of Columbia,DC,712816,86567,20222,38.89,-77.03
371,11001,District of Columbia,DC,712816,86567,20223,38.89,-77.03
372,11001,District of Columbia,DC,712816,86567,20224,38.89,-77.03
373,11001,District of Columbia,DC,712816,86567,20226,38.89,-77.03
374,11001,District of Columbia,DC,712816,86567,20227,38.89,-77.03
375,11001,District of Columbia,DC,712816,86567,20228,38.89,-77.03
376,11001,District of Columbia,DC,712816,86567,20229,38.89,-77.03
377,11001,District of Columbia,DC,712816,86567,20230,38.89,-77.03
378,11001,District of Columbia,DC,712816,86567,20232,38.89,-77.03
379,11001,District of Columbia,DC,712816,86567,20233,38.89,-77.03
380,11001,District of Columbia,DC,712816,86567,20235,38.89,-77.03
381,11001,District of Columbia,DC,712816,86567,20237,38.88,-77.01
382,11001,District of Columbia,DC,712816,86567,20238,38.89,-77.03
383,11001,District of Columbia,DC,712816,86567,20239,38.89,-77.03
