,GeoFips,per_capita_income
1302,26093,62622
1303,26095,36339
1304,26097,50217
1305,26099,52195
1306,26101,44382
1307,26103,44445
1308,26105,45326
1309,26107,37579
1310,26109,47594
1311,26111,57561
1312,26113,40298
1313,26115,52028
1314,26117,40018
1315,26119,42154
1316,26121,44000
1317,26123,42117
1318,26125,76941
1319,26127,43261
1320,26129,39101
1321,26131,45761
1322,26133,41965
1323,26135,36374
1324,26137,46166
1325,26139,52759
1326,26141,45872
1327,26143,41258
1328,26145,45328
1329,26147,50107
1330,26149,43818
1331,26151,44093
1332,26153,45281
1333,26155,44855
1334,26157,43073
1335,26159,45869
1336,26161,63655
1337,26163,48788
1338,26165,41545
1339,27001,46390
1340,27003,55694
1341,27005,51772
1342,27007,45368
1343,27009,49403
1344,27011,62498
1345,27013,49288
1346,27015,59763
1347,27017,47227
1348,27019,75677
1349,27021,51340
1350,27023,56148
1351,27025,53140
1352,27027,47522
1353,27029,49654
1354,27031,56220
1355,27033,56130
1356,27035,49092
1357,27037,64748
1358,27039,51585
1359,27041,56039
1360,27043,50321
1361,27045,49630
1362,27047,50364
1363,27049,58303
1364,27051,55429
1365,27053,79183
1366,27055,55443
1367,27057,52122
1368,27059,49082
1369,27061,48872
1370,27063,62789
1371,27065,48092
1372,27067,57122
1373,27069,63181
1374,27071,49019
1375,27073,60286
1376,27075,51683
1377,27077,60435
1378,27079,54361
1379,27081,53464
1380,27083,54589
1381,27085,54149
1382,27087,40781
1383,27089,63090
1384,27091,57955
1385,27093,49478
1386,27095,47379
1387,27097,47610
1388,27099,50537
1389,27101,63620
1390,27103,53083
1391,27105,53881
1392,27107,51626
1393,27109,63100
1394,27111,52707
1395,27113,61825
1396,27115,42237
1397,27117,59326
1398,27119,55849
1399,27121,56561
1400,27123,58557
1401,27125,55620
1402,27127,61772
1403,27129,58489
1404,27131,47839
1405,27133,59225
1406,27135,55999
1407,27137,50986
1408,27139,65655
1409,27141,50710
1410,27143,53677
1411,27145,51216
1412,27147,51703
1413,27149,55345
1414,27151,56060
1415,27153,47123
1416,27155,74000
1417,27157,53837
1418,27159,43925
1419,27161,47139
1420,27163,72273
1421,27165,53034
1422,27167,62497
1423,27169,52198
1424,27171,55218
1425,27173,61315
1426,28001,38331
1427,28003,38956
1428,28005,37692
1429,28007,37962
1430,28009,34691
1431,28011,42767
1432,28013,38017
1433,28015,41624
1434,28017,40254
1435,28019,38813
1436,28021,34852
1437,28023,42207
1438,28025,42187
1439,28027,40781
1440,28029,36414
1441,28031,38250
1442,28033,45764
1443,28035,42175
1444,28037,38355
1445,28039,38668
1446,28041,31102
1447,28043,40296
1448,28045,39455
1449,28047,41534
1450,28049,43452
1451,28051,33567
1452,28053,40236
1453,28055,38921
1454,28057,39878
1455,28059,41575
1456,28061,41967
1457,28063,38101
1458,28065,33434
1459,28067,40402
1460,28069,33841
1461,28071,46037
1462,28073,43227
1463,28075,42673
1464,28077,36649
1465,28079,32239
1466,28081,46138
1467,28083,43878
1468,28085,42121
1469,28087,44152
1470,28089,68381
1471,28091,41433
1472,28093,37543
1473,28095,39729
1474,28097,39432
1475,28099,38507
1476,28101,37484
1477,28103,37781
1478,28105,37853
1479,28107,37593
1480,28109,40201
1481,28111,36953
1482,28113,34718
1483,28115,37342
1484,28117,34158
1485,28119,34239
1486,28121,48295
1487,28123,32840
1488,28125,42775
1489,28127,38987
1490,28129,36494
1491,28131,37001
1492,28133,35454
1493,28135,33784
1494,28137,40134
1495,28139,42051
1496,28141,37593
1497,28143,40994
1498,28145,36387
1499,28147,34814
1500,28149,44422
1501,28151,43778
1502,28153,36967
1503,28155,43060
1504,28157,34759
1505,28159,38970
1506,28161,41336
1507,28163,33672
1508,29001,34867
1509,29003,48186
1510,29005,53958
1511,29007,42029
1512,29009,37114
1513,29011,42031
1514,29013,44523
1515,29015,40318
1516,29017,36548
1517,29019,51330
1518,29021,42653
1519,29023,40255
1520,29025,41488
1521,29027,42524
1522,29029,40778
1523,29031,47386
1524,29033,50990
1525,29035,35898
1526,29037,50654
1527,29039,34130
1528,29041,49650
1529,29043,43602
1530,29045,40825
1531,29047,51619
1532,29049,46823
1533,29051,51905
1534,29053,44486
1535,29055,38430
1536,29057,38581
1537,29059,35840
1538,29061,37380
1539,29063,36799
1540,29065,36327
1541,29067,31031
1542,29069,38821
1543,29071,48108
1544,29073,43589
1545,29075,46483
1546,29077,47388
1547,29079,39098
1548,29081,41238
1549,29083,44780
1550,29085,31380
1551,29087,56644
1552,29089,43946
1553,29091,37414
1554,29093,36530
1555,29095,50209
1556,29097,42488
1557,29099,46027
1558,29101,40207
1559,29103,40933
1560,29105,38403
1561,29107,45825
1562,29109,36746
1563,29111,39481
1564,29113,44032
1565,29115,42456
1566,29117,43804
1567,29119,31941
1568,29121,44785
1569,29123,40312
1570,29125,37638
1571,29127,44121
1572,29129,35358
1573,29131,39349
1574,29133,37483
1575,29135,41930
1576,29137,44528
1577,29139,46688
1578,29141,42880
1579,29143,41953
1580,29145,41771
1581,29147,36315
1582,29149,33166
1583,29151,49250
1584,29153,33722
1585,29155,40931
1586,29157,45002
1587,29159,40971
1588,29161,42030
1589,29163,40471
1590,29165,60698
1591,29167,36944
1592,29169,44732
1593,29171,39308
1594,29173,44688
1595,29175,42615
1596,29177,46047
1597,29179,38107
1598,29181,34297
1599,29183,56879
1600,29185,33058
1601,29186,44925
1602,29187,37377
1603,29189,78804
1604,29195,43076
1605,29197,33550
1606,29199,41576
1607,29201,44148
1608,29203,33071
1609,29205,45373
1610,29207,41158
1611,29209,41975
1612,29211,44877
1613,29213,38859
1614,29215,32774
1615,29217,39496
1616,29219,45011
1617,29221,33148
1618,29223,34018
1619,29225,35845
1620,29227,41861
1621,29229,35480
1622,29510,51041
1623,30001,52501
1624,30003,35950
1625,30005,36301
1626,30007,48786
1627,30009,56900
1628,30011,53760
1629,30013,52226
1630,30015,48627
1631,30017,51268
1632,30019,64205
1633,30021,50972
1634,30023,45039
1635,30025,54203
1636,30027,48900
1637,30029,52740
1638,30031,63432
1639,30033,44812
1640,30035,41773
1641,30037,56481
1642,30039,49242
1643,30041,50018
1644,30043,52770
1645,30045,56953
1646,30047,44068
1647,30049,54040
1648,30051,51268
1649,30053,41129
1650,30055,48924
